k,t,u,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF2_rad,thetaF1_deg,thetaF2_deg,R1_orth_error,R2_orth_error,F1_orth_error,F2_orth_error,R1_det_error,R2_det_error,F1_det_error,F2_det_error,base_x,base_y,elbow_x,elbow_y,tip_x,tip_y,target_angle_error_norm_rad,target_angle_error_norm_deg,target_step_error_norm_rad,target_step_error_norm_deg,target_error_R1_deg,target_error_R2_deg,target_error_F1_deg,target_error_F2_deg,mpc_iteration,angle_ok,step_ok,stable_counter
0.0000000000000000e+00,0.0000000000000000e+00,nan,8.7266462599716474e-02,8.7266462599716474e-02,5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2501662875683853e-18,3.2501662875683853e-18,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.7155742747658166e-02,-9.9619469809174555e-01,1.7431148549531633e-01,-1.9923893961834911e+00,4.3194695232095226e+00,2.4748737341529164e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.7500000000000000e+02,-1.7500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.0000000000000000e+00,False,False,0
1.0000000000000000e+00,1.0000000000000001e-01,-7.1076081409136771e+00,3.8526146635648345e-01,-6.4216535803320118e-01,2.2073856031247860e+01,-3.6793364764809866e+01,2.9799500375676696e-01,-7.2943182063291767e-01,1.7073856031247857e+01,-4.1793364764809866e+01,1.0020530878399335e-16,2.7604310880016606e-16,1.1290218914385539e-16,2.9359949866207435e-18,0.0000000000000000e+00,2.2204460492503131e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,3.7580145051664032e-01,-9.2670020491504645e-01,-2.2312941392411628e-01,-1.7275009414408367e+00,3.7208195897528173e+00,2.1318725882243484e+02,7.8795418852611510e-01,4.5146449452201992e+01,-1.5792614396875214e+02,1.4320663523519011e+02,1.7073856031247868e+01,-4.1793364764809859e+01,0.0000000000000000e+00,False,False,0
2.0000000000000000e+00,2.0000000000000001e-01,-8.6402431380376683e+00,5.4026023540137236e-01,-1.3597498039597666e+00,3.0954631327242982e+01,-7.7907924960635697e+01,1.5499876904488902e-01,-7.1758444592656534e-01,8.8807752959951305e+00,-4.1114560195825831e+01,2.5543179181517532e-16,4.9650697395862423e-16,8.4060538187525953e-18,3.1406263343088327e-16,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,5.1435918040427098e-01,-8.5757485593611393e-01,-4.6345304073970894e-01,-1.0670581731274273e+00,3.1530769560376526e+00,1.8065800206091410e+02,7.3413354060495484e-01,4.2062753475659960e+01,-1.4904536867275704e+02,1.0209207503936427e+02,8.8807752959951340e+00,-4.1114560195825838e+01,1.0000000000000000e+00,False,False,0
3.0000000000000000e+00,3.0000000000000004e-01,-8.0341293391386728e+00,4.0920899094859614e-01,-2.4024148063814699e+00,2.3445948120161663e+01,-1.3764822904539704e+02,-1.3105124445277619e-01,-1.0426650024217032e+00,-7.5086832070813170e+00,-5.9740304084761355e+01,3.7660599990674634e-16,3.2508011820650839e-16,3.1407225189947281e-16,2.4828590718198930e-16,2.2204460492503131e-16,0.0000000000000000e+00,2.2204460492503131e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,3.9788375248400698e-01,-9.1743583945104601e-01,-2.7579679733795159e-01,-1.7841316267340912e-01,2.8306014148360861e+00,1.6218151455386726e+02,1.0508685626412428e+00,6.0210333462322389e+01,-1.5655405187983834e+02,4.2351770954602920e+01,-7.5086832070813090e+00,-5.9740304084761355e+01,2.0000000000000000e+00,False,False,0
4.0000000000000000e+00,4.0000000000000002e-01,5.3280380166397059e+00,6.9776090839329022e-02,2.8456488964677620e+00,3.9978755160149988e+00,1.6304367174366291e+02,-3.3943290010926719e-01,-1.0351216043303548e+00,-1.9448072604146670e+01,-5.9308099210940050e+01,5.0109237691883531e-16,3.6096900192541591e-16,3.6289472886672742e-17,7.3883583865880867e-19,2.2204460492503131e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.9719484778902691e-02,-9.9756663609112572e-01,3.6136219412697779e-01,-4.1039307634633482e-02,3.0860394849333312e+00,1.7681703789740629e+02,1.0893536750881392e+00,6.2415367979615944e+01,-1.7600212448398500e+02,-1.6956328256337084e+01,-1.9448072604146663e+01,-5.9308099210940050e+01,3.0000000000000000e+00,False,False,0
5.0000000000000000e+00,5.0000000000000000e-01,7.8979444395128704e+00,-1.2458144168165629e-01,2.3095795702018083e+00,-7.1379908140141026e+00,1.3232916182220225e+02,-1.9435753252098534e-01,-5.3606932626595349e-01,-1.1135866330029103e+01,-3.0714509921460660e+01,4.9654522513061103e-16,5.3727922633408298e-16,1.5191268213899458e-18,7.1662358890510099e-18,2.2204460492503131e-16,4.4408920985006262e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2425942988934401e-01,-9.9224976396246889e-01,6.1502902624988276e-01,-3.1886088774065413e-01,3.1296329535119911e+00,1.7931475966129966e+02,5.7021502348752517e-01,3.2670914260788301e+01,1.7286200918598593e+02,-4.7670838177797755e+01,-1.1135866330029096e+01,-3.0714509921460650e+01,4.0000000000000000e+00,False,False,0
6.0000000000000000e+00,6.0000000000000009e-01,1.9999121163945578e+01,-2.7450495151078419e-01,2.3106110728710623e+00,-1.5727975177011245e+01,1.3238826257170697e+02,-1.4992350982912789e-01,1.0315026692536543e-03,-8.5899843629971411e+00,5.9100749504713258e-02,4.9707498342139023e-16,5.6134707752742532e-16,1.5709861664774400e-16,1.5700926064492238e-16,2.2204460492503131e-16,0.0000000000000000e+00,1.1102230246251565e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,-2.7107045656109302e-01,-9.6255950859142236e-01,4.6752300397744634e-01,-2.8840841273107665e-01,2.9850832951370876e+00,1.7103267430635981e+02,1.4992705825581096e-01,8.5901876728699929e+00,1.6427202482298875e+02,-4.7611737428293026e+01,-8.5899843629971517e+00,5.9100749504707790e-02,5.0000000000000000e+00,False,False,0
7.0000000000000000e+00,7.0000000000000007e-01,1.1348256344361525e+01,-3.8850678277645811e-01,2.5778941375975166e+00,-2.2259798965296913e+01,1.4770245411585481e+02,-1.1400183126567394e-01,2.6728306472645430e-01,-6.5318237882856689e+00,1.5314191544147837e+01,5.0535882263163427e-16,4.9952202323572916e-16,3.1401851324853408e-16,3.6584546225381897e-17,4.4408920985006262e-16,2.2204460492503131e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7880690164547387e-01,-9.2547573240239867e-01,1.5550924265965388e-01,-8.0191012361333525e-02,2.8102024533837260e+00,1.6101274015619697e+02,2.9057985859569346e-01,1.6648999509041492e+01,1.5774020103470306e+02,-3.2297545884145187e+01,-6.5318237882856778e+00,1.5314191544147841e+01,6.0000000000000000e+00,False,False,0
8.0000000000000000e+00,8.0000000000000004e-01,1.7447548082145605e+00,-4.4992021670662791e-01,2.8962512964945351e+00,-2.5778529534901171e+01,1.6594297569842971e+02,-6.1413433930169820e-02,3.1835715889701854e-01,-3.5187305696042586e+00,1.8240521582574889e+01,2.2550158358037334e-16,6.7560686362100706e-16,1.5704454570986771e-16,2.2540986496162879e-16,2.2204460492503131e-16,2.2204460492503131e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.3489369209161421e-01,-9.0048180246961362e-01,-1.9200621818211669e-01,6.9572667659699827e-02,2.7028305327892643e+00,1.5486078226792051e+02,3.2422660360938427e-01,1.8576815992678821e+01,1.5422147046509880e+02,-1.4057024301570301e+01,-3.5187305696042666e+00,1.8240521582574882e+01,7.0000000000000000e+00,False,False,0
9.0000000000000000e+00,9.0000000000000002e-01,7.4491160865499602e+00,-4.2351903325943341e-01,-2.7049590061794002e+00,-2.4265853149226274e+01,-1.5498273480998120e+02,2.6401183447194488e-02,6.8197500450565163e-01,1.5126763856748942e+00,3.9074289491589141e+01,2.3109508133347159e-16,5.1307022080636320e-16,2.4826301296305742e-16,4.0074262570941004e-16,2.2204460492503131e-16,1.1102230246251565e-16,2.2204460492503131e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,-4.1097111200998121e-01,-9.1164836702167107e-01,-8.3386245628309175e-01,-5.4679705558892122e-03,2.7529208393244242e+00,1.5773074542690173e+02,6.8248584546340274e-01,3.9103558522470699e+01,1.5573414685077373e+02,2.5017265190018776e+01,1.5126763856749041e+00,3.9074289491589127e+01,8.0000000000000000e+00,False,False,0
