k,kin_error_link1,kin_error_link2
0,4.1340913094244159e-13,1.6236465236602435e-12
1,2.7211169848334871e-12,4.6176053018138696e-12
2,7.0810890001177151e-11,1.5455035137601982e-10
3,4.5795206502888096e-11,3.7238246597443503e-10
4,2.7458590979592308e-10,1.3107503623313252e-09
5,3.4526423195883987e-11,4.0695366177241566e-10
6,1.2386803995473173e-10,1.8565512084723639e-09
7,8.2030864352355167e-11,3.8154994615763250e-10
8,6.4156157433313135e-11,1.4407613783350091e-10
9,1.5437120258385878e-10,1.4573526224096397e-10
10,1.6438581140406440e-10,5.4632019396070636e-10
11,1.1615736160890765e-10,2.1897880816981202e-10
12,1.2204043544795255e-10,1.6190738232458447e-10
13,1.0183190250022538e-10,1.5177174114683973e-10
14,8.7339802816397222e-11,1.4349533828051427e-10
15,7.4600061128976311e-11,1.4019307593483704e-10
16,5.3557021348999468e-11,1.3193370783018925e-10
17,4.2298398938473549e-11,1.3207217092450990e-10
18,3.2331831975224723e-11,1.3926953874963929e-10
19,4.7801785249619682e-12,8.6276052483340548e-11
