Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 24
Minimum dominant weight: 1.4763278e-01
Maximum second weight: 1.1271324e-01
All blocks rank-one: False

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
0       351x351     9.99999989e-01       3.44466946e-09      1            tight
1       253x253     9.99999975e-01       1.20577462e-08      1            tight
2       253x253     9.99999910e-01       3.65906671e-08      1            tight
3       253x253     9.99999889e-01       3.87121508e-08      1            tight
4       253x253     9.99999899e-01       2.45306581e-08      1            tight
5       253x253     9.99999846e-01       3.90688901e-08      1            tight
6       253x253     9.99999856e-01       4.45825775e-08      1            tight
7       253x253     9.99999871e-01       3.60101907e-08      1            tight
8       253x253     9.99999897e-01       2.74526384e-08      1            tight
9       253x253     9.99999909e-01       1.98339520e-08      1            tight
10      253x253     9.99999920e-01       1.36725725e-08      1            tight
11      253x253     9.99999930e-01       1.03609495e-08      1            tight
12      253x253     9.99999937e-01       9.74845022e-09      1            tight
13      253x253     9.99999943e-01       9.54733206e-09      1            tight
14      253x253     9.99999947e-01       9.54404477e-09      1            tight
15      253x253     9.99999950e-01       9.54397422e-09      1            tight
16      253x253     9.99999953e-01       9.44765771e-09      1            tight
17      253x253     9.99999955e-01       9.29153926e-09      1            tight
18      253x253     9.99999961e-01       6.02124190e-09      1            tight
19      26x26       9.99999984e-01       3.47639043e-09      1            tight
20      22x22       9.99999975e-01       1.04293648e-08      1            tight
21      26x26       9.99999943e-01       1.32974412e-08      1            tight
22      22x22       9.99999917e-01       3.69645837e-08      1            tight
23      26x26       9.99999995e-01       7.62702108e-10      1            tight
24      26x26       9.99999995e-01       1.83361511e-09      1            tight
25      26x26       5.69306751e-01       2.37671930e-02      24           not tight
26      26x26       9.99999994e-01       2.06390003e-09      1            tight
27      26x26       9.99999994e-01       2.10560555e-09      1            tight
28      22x22       9.99999968e-01       1.42459359e-08      1            tight
29      22x22       9.99999918e-01       2.86591022e-08      1            tight
30      22x22       8.07838510e-01       5.11409036e-02      3            not tight
31      22x22       7.27000307e-01       1.12713243e-01      5            not tight
32      22x22       9.99999985e-01       8.13071189e-09      1            tight
33      22x22       9.99999926e-01       4.42050515e-08      1            tight
34      22x22       1.47632775e-01       7.18033826e-02      21           not tight
35      22x22       9.99999982e-01       1.08771265e-08      1            tight
36      22x22       9.99999988e-01       7.04407565e-09      1            tight
37      22x22       9.99999941e-01       2.13649230e-08      1            tight
38      22x22       9.99999923e-01       2.99119113e-08      1            tight
39      22x22       9.99999965e-01       1.44350371e-08      1            tight
40      22x22       9.99999944e-01       2.43163766e-08      1            tight
41      22x22       9.99999976e-01       1.15878292e-08      1            tight
42      22x22       9.99999965e-01       1.93064053e-08      1            tight
43      22x22       9.99999957e-01       2.17180296e-08      1            tight
44      22x22       9.99999968e-01       1.75036956e-08      1            tight
45      22x22       9.99999958e-01       1.92762068e-08      1            tight
46      22x22       9.99999938e-01       2.58664520e-08      1            tight
47      22x22       9.99999936e-01       2.04503039e-08      1            tight
48      22x22       9.99999956e-01       2.15881038e-08      1            tight
49      22x22       9.99999955e-01       1.64180913e-08      1            tight
50      22x22       9.99999955e-01       1.62721403e-08      1            tight
51      22x22       9.99999964e-01       1.67340493e-08      1            tight
52      22x22       9.99999946e-01       2.51891984e-08      1            tight
53      22x22       9.99999955e-01       1.98425781e-08      1            tight
54      22x22       9.99999943e-01       2.53368762e-08      1            tight
55      22x22       9.99999943e-01       1.77195541e-08      1            tight
56      22x22       9.99999920e-01       2.40685551e-08      1            tight
57      22x22       9.99999941e-01       2.16795946e-08      1            tight
58      22x22       9.99999924e-01       2.87403347e-08      1            tight
59      22x22       9.99999920e-01       3.18975528e-08      1            tight
60      22x22       9.99999965e-01       1.22325698e-08      1            tight
61      22x22       9.99999933e-01       2.49879001e-08      1            tight
62      22x22       9.99999951e-01       1.47287497e-08      1            tight
63      22x22       9.99999934e-01       2.29206630e-08      1            tight
64      22x22       9.99999915e-01       2.42185516e-08      1            tight
65      22x22       9.99999911e-01       3.70919566e-08      1            tight
66      22x22       9.99999866e-01       5.30168452e-08      1            tight
67      22x22       9.99999861e-01       6.48430204e-08      1            tight
68      22x22       9.99999941e-01       2.12254172e-08      1            tight
69      22x22       9.99999956e-01       1.72718919e-08      1            tight
70      22x22       9.99999965e-01       1.10469250e-08      1            tight
71      22x22       9.99999934e-01       2.08471765e-08      1            tight
