k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,-7.6519880279346641e-01,-6.4379406036552389e-01,6.4379406036552389e-01,-7.6519880279346641e-01,-5.8071690439658774e-01,8.1410556864951200e-01,-8.1410556864951200e-01,-5.8071690439658774e-01,9.2769630022281624e-01,-3.7333573966455030e-01,3.7333573966455030e-01,9.2769630022281624e-01,6.8676273080039352e-01,7.2688166268050769e-01,-7.2688166268050769e-01,6.8676273080039352e-01,2.4421463993400323e+00,-2.1904053449184828e+00,1.3992468163525439e+02,-1.2550098168672643e+02,3.8260215440860718e-01,2.1921488680225835e+01,-8.1377033853834901e-01,-4.6625605891179603e+01,nan,nan,nan,nan,nan,5.8715177584948816e-11,5.9254347335261392e-11,-4.1517900228882354e-11,-4.1899150815538633e-11,5.9427371524198542e-11,-4.2021608415154788e-11,5.9972350616607054e-11,-4.2406744782397254e-11
1.0000000000000000e+00,-9.5022343002438803e-01,-3.1156930688158757e-01,3.1156930688158757e-01,-9.5022343002438803e-01,-9.9057313644363054e-01,1.3698489447421083e-01,-1.3698489447421083e-01,-9.9057313644363054e-01,9.8406513846531007e-01,-1.7780833240858090e-01,1.7780833240858090e-01,9.8406513846531007e-01,9.6590814921992008e-01,2.5888500651108098e-01,-2.5888500651108098e-01,9.6590814921992008e-01,2.8247485537487185e+00,-3.0041756834565851e+00,1.6184617031548476e+02,-1.7212658757789188e+02,1.7875884408391307e-01,1.0242127316645345e+01,-2.6186767678944939e-01,-1.5003912670931397e+01,2.9450408001656934e+00,-2.2503171482369893e+01,4.9700740118768643e+00,2.5074837126447708e+01,8.0793319927798439e+00,5.9416851904727578e-11,5.9563577045042934e-11,-4.2013947876284874e-11,-4.2117864751389789e-11,2.5926732658225574e-10,-1.8332979578872255e-10,9.5361292579863697e-10,-6.7430605543705724e-10
2.0000000000000000e+00,-9.9048137014131588e-01,-1.3764684960107154e-01,1.3764684960107154e-01,-9.9048137014131588e-01,-9.9226600021103839e-01,-1.2412970698747722e-01,1.2412970698747722e-01,-9.9226600021103839e-01,9.9900500832859274e-01,-4.4598129206653611e-02,4.4598129206653611e-02,9.9900500832859274e-01,9.9999632206774769e-01,-2.7120418497934059e-03,2.7120418497934059e-03,9.9999632206774769e-01,3.0035073978433235e+00,3.0171419469343017e+00,1.7208829763274269e+02,1.7286949975121968e+02,4.4612926688267669e-02,2.5561324109642904e+00,2.7120451753150751e-03,1.5538874239437123e-01,6.2514763181340509e+00,1.4286306275208595e+01,2.2911786889157593e-01,-6.2315397156134855e+00,2.6805823335168029e+00,2.7984684245671572e-10,9.4524708065565772e-10,-1.9788171101708940e-10,-6.6839067613955194e-10,2.9084008032006931e-10,-2.0565504854630490e-10,9.6164033751214891e-10,-6.7998251473966320e-10
3.0000000000000000e+00,-9.9563464147319614e-01,-9.3336275969471277e-02,9.3336275969471277e-02,-9.9563464147319614e-01,-9.9259899596427281e-01,-1.2143818355789357e-01,1.2143818355789357e-01,-9.9259899596427281e-01,9.9979708111503696e-01,-2.0144388592523141e-02,2.0144388592523141e-02,9.9979708111503696e-01,9.9945886199268108e-01,-3.2893502258730577e-02,3.2893502258730577e-02,9.9945886199268108e-01,3.0481203245775510e+00,3.0198539921140961e+00,1.7464443004634029e+02,1.7302488849387069e+02,2.0145751263442618e-02,1.1542665225156079e+00,3.2899436859018381e-02,1.8849988803788909e+00,2.1340649927149160e+00,1.9254954620293724e+01,-9.2230585153787281e-01,-9.6187097260257826e+00,3.7783167617599067e-01,4.0544214943948568e-10,1.1099835365594469e-09,-2.8669089324750985e-10,-7.8487694121776030e-10,2.8579231157001331e-10,-2.0208579254443748e-10,9.8068603006372056e-10,-6.9344974207297128e-10
4.0000000000000000e+00,-9.9731281070209687e-01,-7.3260885107226836e-02,7.3260885107226836e-02,-9.9731281070209687e-01,-9.9605639044236771e-01,-8.8722411412738456e-02,8.8722411412738456e-02,-9.9605639044236771e-01,9.9987560223825356e-01,-1.5772757074446801e-02,1.5772757074446801e-02,9.9987560223825356e-01,9.9970356985520936e-01,-2.4346905343671545e-02,2.4346905343671545e-02,9.9970356985520936e-01,3.0682660759024234e+00,3.0527534290173488e+00,1.7579869657237558e+02,1.7490988737678401e+02,1.5773411139846788e-02,9.0374988683785806e-01,2.4349311352874863e-02,1.3951127745697105e+00,1.0723147740710388e+00,1.9443367071340802e+01,-8.5551954175329503e-01,-9.6657023952621852e+00,-6.8517982567361468e-02,4.5649284218274308e-10,1.0918157612061453e-09,-3.2278923978168450e-10,-7.7203021753291523e-10,2.5874487831664036e-10,-1.8296020254382483e-10,8.7530888217604793e-10,-6.1893690173064897e-10
5.0000000000000000e+00,-9.9834427344886467e-01,-5.7521398875604715e-02,5.7521398875604715e-02,-9.9834427344886467e-01,-9.9792124575376184e-01,-6.4445220742954390e-02,6.4445220742954390e-02,-9.9792124575376184e-01,9.9991667097626535e-01,-1.2909333278793116e-02,1.2909333278793116e-02,9.9991667097626535e-01,9.9986062761079753e-01,-1.6695046638737845e-02,1.6695046638737845e-02,9.9986062761079753e-01,3.0840394870980892e+00,3.0771027404069136e+00,1.7670244646241161e+02,1.7630500015345592e+02,1.2909691865730086e-02,7.3967085872070337e-01,1.6695822295786093e-02,9.5660015304896384e-01,8.0740346144758490e-01,1.9517785309254702e+01,-6.6506675895839229e-01,-9.7263898469525341e+00,-8.2203046974312480e-02,4.8543176582109748e-10,1.1266360156808673e-09,-3.4325209341545815e-10,-7.9665185559463225e-10,3.0835532524752849e-10,-2.1804014149751083e-10,1.0910267897456567e-09,-7.7147255250764601e-10
6.0000000000000000e+00,-9.9900364542522513e-01,-4.4628646690699506e-02,4.4628646690699506e-02,-9.9900364542522513e-01,-9.9885807945444594e-01,-4.7775897081152069e-02,4.7775897081152069e-02,-9.9885807945444594e-01,9.9994842921279803e-01,-1.0155721949219597e-02,1.0155721949219597e-02,9.9994842921279803e-01,9.9992727187393371e-01,-1.2060267144094364e-02,1.2060267144094364e-02,9.9992727187393371e-01,3.0969491789991688e+00,3.0937985627596785e+00,1.7744211732315770e+02,1.7726160030976953e+02,1.0155896533113076e-02,5.8189000851892392e-01,1.2060559529838512e-02,6.9101915962603122e-01,6.4269479631650572e-01,1.9559687330792826e+01,-5.0545242618091590e-01,-9.7625700854524400e+00,-5.7856101929343241e-02,4.5490697029484277e-10,1.0842308015474900e-09,-3.2166780350451063e-10,-7.6666695214555602e-10,3.2038717927230070e-10,-2.2654811360212079e-10,1.2998961110197388e-09,-9.1916529942892566e-10
7.0000000000000000e+00,-9.9940536227335264e-01,-3.4480741882215379e-02,3.4480741882215379e-02,-9.9940536227335264e-01,-9.9936162494736924e-01,-3.5725927120326600e-02,3.5725927120326600e-02,-9.9936162494736924e-01,9.9996927578955119e-01,-7.8388325319481492e-03,7.8388325319481492e-03,9.9996927578955119e-01,9.9995980425461317e-01,-8.9660043711804957e-03,8.9660043711804957e-03,9.9995980425461317e-01,3.1071050755614511e+00,3.1058591223390111e+00,1.7802400733334790e+02,1.7795261947223136e+02,7.8389128140557256e-03,4.4913662021641254e-01,8.9661245067698507e-03,5.1372109282672940e-01,5.0131378215980960e-01,1.9584510101010334e+01,-3.8568007490619827e-01,-9.7826167956380647e+00,-4.3757992433305373e-02,4.2217211262374472e-10,1.0096732340451864e-09,-2.9852076366410074e-10,-7.1394690159820584e-10,2.5661834509059919e-10,-1.8145662750157499e-10,9.0607492240857588e-10,-6.4069172189817891e-10
8.0000000000000000e+00,-9.9964494519919445e-01,-2.6645511199051498e-02,2.6645511199051498e-02,-9.9964494519919445e-01,-9.9964177405242205e-01,-2.6764210363730896e-02,2.6764210363730896e-02,-9.9964177405242205e-01,9.9998193276484004e-01,-6.0111551657279667e-03,6.0111551657279667e-03,9.9998193276484004e-01,9.9997751080650299e-01,-6.7065205438249370e-03,6.7065205438249370e-03,9.9997751080650299e-01,3.1149439884015071e+00,3.1148252468843780e+00,1.7847314395505401e+02,1.7846634056726953e+02,6.0111913679564413e-03,3.4441589522937599e-01,6.7065708200592690e-03,3.8425820299498759e-01,3.8670909534550524e-01,1.9599222237202902e+01,-2.9542267593238941e-01,-9.7940959044012583e+00,-3.5423342000984313e-02,3.8274387229666287e-10,8.6681727262712206e-10,-2.7064062102510889e-10,-6.1293248254656874e-10,2.2269406387741323e-10,-1.5746848269770908e-10,6.5538249878017602e-10,-4.6342552018074912e-10
9.0000000000000000e+00,-9.9978705476854879e-01,-2.0636008898135098e-02,2.0636008898135098e-02,-9.9978705476854879e-01,-9.9979878788968279e-01,-2.0059490336473557e-02,2.0059490336473557e-02,-9.9979878788968279e-01,9.9998946981241410e-01,-4.5891285936556104e-03,4.5891285936556104e-03,9.9998946981241410e-01,9.9998744762823777e-01,-5.0103978610221951e-03,5.0103978610221951e-03,9.9998744762823777e-01,3.1209551797852351e+00,3.1215318177370079e+00,1.7881755985118704e+02,1.7885059877213070e+02,4.5891447021011774e-03,2.6293862300521892e-01,5.0104188260867962e-03,2.8707585232766586e-01,2.9792397037464857e-01,1.9607856713116771e+01,-2.2686728888161536e-01,-9.8007535191657240e+00,-2.9247248436212892e-02,3.5919177887479179e-10,8.2273574928023477e-10,-2.5398705361112661e-10,-5.8176208295179777e-10,2.3057027568715452e-10,-1.6303791650074118e-10,7.0602724411823397e-10,-4.9923665201845324e-10
