Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 1
Minimum dominant weight: 1.0000000e+00
Maximum second weight: 2.5152902e-12
All blocks rank-one: True

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
0       351x351     1.00000000e+00       1.12700943e-12      1            tight
1       253x253     1.00000000e+00       2.32128975e-12      1            tight
2       253x253     1.00000000e+00       2.51529021e-12      1            tight
3       253x253     1.00000000e+00       2.09286122e-12      1            tight
4       253x253     1.00000000e+00       1.96375329e-12      1            tight
5       253x253     1.00000000e+00       2.16022440e-12      1            tight
6       253x253     1.00000000e+00       2.20903009e-12      1            tight
7       253x253     1.00000000e+00       2.25464799e-12      1            tight
8       253x253     1.00000000e+00       2.30509101e-12      1            tight
9       253x253     1.00000000e+00       2.33534638e-12      1            tight
10      253x253     1.00000000e+00       2.34132201e-12      1            tight
11      253x253     1.00000000e+00       2.33216983e-12      1            tight
12      253x253     1.00000000e+00       2.31855739e-12      1            tight
13      253x253     1.00000000e+00       2.29922944e-12      1            tight
14      253x253     1.00000000e+00       2.26318999e-12      1            tight
15      253x253     1.00000000e+00       2.19243735e-12      1            tight
16      253x253     1.00000000e+00       2.12099585e-12      1            tight
17      253x253     1.00000000e+00       2.07655351e-12      1            tight
18      253x253     1.00000000e+00       1.73916659e-12      1            tight
19      26x26       1.00000000e+00       9.08053755e-13      1            tight
20      22x22       1.00000000e+00       1.70537275e-12      1            tight
21      26x26       1.00000000e+00       6.33822035e-13      1            tight
22      22x22       1.00000000e+00       1.42385330e-12      1            tight
23      26x26       1.00000000e+00       6.95240419e-13      1            tight
24      26x26       1.00000000e+00       7.14357233e-13      1            tight
25      26x26       1.00000000e+00       9.10631716e-13      1            tight
26      26x26       1.00000000e+00       7.90664160e-13      1            tight
27      26x26       1.00000000e+00       7.40338337e-13      1            tight
28      22x22       1.00000000e+00       1.61885045e-12      1            tight
29      22x22       1.00000000e+00       1.78948155e-12      1            tight
30      22x22       1.00000000e+00       1.44545520e-12      1            tight
31      22x22       1.00000000e+00       1.58779064e-12      1            tight
32      22x22       1.00000000e+00       1.29106939e-12      1            tight
33      22x22       1.00000000e+00       1.34629790e-12      1            tight
34      22x22       1.00000000e+00       9.12231942e-13      1            tight
35      22x22       1.00000000e+00       1.46082774e-12      1            tight
36      22x22       1.00000000e+00       1.10967101e-12      1            tight
37      22x22       1.00000000e+00       1.76133159e-12      1            tight
38      22x22       1.00000000e+00       1.51379167e-12      1            tight
39      22x22       1.00000000e+00       1.54807918e-12      1            tight
40      22x22       1.00000000e+00       1.35204619e-12      1            tight
41      22x22       1.00000000e+00       1.48196799e-12      1            tight
42      22x22       1.00000000e+00       1.53435377e-12      1            tight
43      22x22       1.00000000e+00       1.20183705e-12      1            tight
44      22x22       1.00000000e+00       1.60183226e-12      1            tight
45      22x22       1.00000000e+00       1.39214832e-12      1            tight
46      22x22       1.00000000e+00       1.56706319e-12      1            tight
47      22x22       1.00000000e+00       1.43580275e-12      1            tight
48      22x22       1.00000000e+00       1.43281331e-12      1            tight
49      22x22       1.00000000e+00       1.33806800e-12      1            tight
50      22x22       1.00000000e+00       1.36049059e-12      1            tight
51      22x22       1.00000000e+00       1.29729821e-12      1            tight
52      22x22       1.00000000e+00       1.46465892e-12      1            tight
53      22x22       1.00000000e+00       1.40547721e-12      1            tight
54      22x22       1.00000000e+00       1.32722459e-12      1            tight
55      22x22       1.00000000e+00       1.51283461e-12      1            tight
56      22x22       1.00000000e+00       1.53057841e-12      1            tight
57      22x22       1.00000000e+00       1.37651600e-12      1            tight
58      22x22       1.00000000e+00       1.43857787e-12      1            tight
59      22x22       1.00000000e+00       1.31519304e-12      1            tight
60      22x22       1.00000000e+00       1.27495170e-12      1            tight
61      22x22       1.00000000e+00       1.12669118e-12      1            tight
62      22x22       1.00000000e+00       1.34137254e-12      1            tight
63      22x22       1.00000000e+00       1.10638621e-12      1            tight
64      22x22       1.00000000e+00       1.62665207e-12      1            tight
65      22x22       1.00000000e+00       1.54909153e-12      1            tight
66      22x22       1.00000000e+00       1.51299414e-12      1            tight
67      22x22       1.00000000e+00       1.49886508e-12      1            tight
68      22x22       1.00000000e+00       1.46132106e-12      1            tight
69      22x22       1.00000000e+00       1.41980512e-12      1            tight
70      22x22       1.00000000e+00       1.09011536e-12      1            tight
71      22x22       1.00000000e+00       1.47016841e-12      1            tight
72      22x22       1.00000000e+00       1.17312868e-12      1            tight
73      22x22       1.00000000e+00       1.65063626e-12      1            tight
74      22x22       1.00000000e+00       1.57713856e-12      1            tight
75      22x22       1.00000000e+00       1.56973545e-12      1            tight
76      22x22       1.00000000e+00       1.53673034e-12      1            tight
77      22x22       1.00000000e+00       1.50472901e-12      1            tight
78      22x22       1.00000000e+00       1.48258038e-12      1            tight
79      22x22       1.00000000e+00       1.12327305e-12      1            tight
80      22x22       1.00000000e+00       1.51560710e-12      1            tight
81      22x22       1.00000000e+00       1.24847694e-12      1            tight
82      22x22       1.00000000e+00       1.67116623e-12      1            tight
83      22x22       1.00000000e+00       1.60489476e-12      1            tight
84      22x22       1.00000000e+00       1.58972671e-12      1            tight
85      22x22       1.00000000e+00       1.56023253e-12      1            tight
86      22x22       1.00000000e+00       1.52494703e-12      1            tight
87      22x22       1.00000000e+00       1.51612714e-12      1            tight
88      22x22       1.00000000e+00       1.17383722e-12      1            tight
89      22x22       1.00000000e+00       1.54720076e-12      1            tight
90      22x22       1.00000000e+00       1.29622922e-12      1            tight
91      22x22       1.00000000e+00       1.69515496e-12      1            tight
92      22x22       1.00000000e+00       1.61987043e-12      1            tight
93      22x22       1.00000000e+00       1.61007143e-12      1            tight
94      22x22       1.00000000e+00       1.57242448e-12      1            tight
95      22x22       1.00000000e+00       1.55457469e-12      1            tight
96      22x22       1.00000000e+00       1.54781840e-12      1            tight
97      22x22       1.00000000e+00       1.20717381e-12      1            tight
98      22x22       1.00000000e+00       1.57921924e-12      1            tight
99      22x22       1.00000000e+00       1.32638347e-12      1            tight
100     22x22       1.00000000e+00       1.70787108e-12      1            tight
101     22x22       1.00000000e+00       1.62245814e-12      1            tight
102     22x22       1.00000000e+00       1.62093871e-12      1            tight
103     22x22       1.00000000e+00       1.57306105e-12      1            tight
104     22x22       1.00000000e+00       1.57080195e-12      1            tight
