block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
0,351x351,9.9999999686916041e-01,2.0160279407275328e-10,1,True,tight
1,253x253,9.9999999545485985e-01,4.9149268783576239e-10,1,True,tight
2,253x253,9.9999999503263570e-01,5.4362584443783887e-10,1,True,tight
3,253x253,9.9999999485774371e-01,5.6580543112610016e-10,1,True,tight
4,253x253,9.9999999480707458e-01,5.7568100728194269e-10,1,True,tight
5,253x253,9.9999999479815771e-01,5.8573041297198495e-10,1,True,tight
6,253x253,9.9999999477662482e-01,5.9850447491638903e-10,1,True,tight
7,253x253,9.9999999475367196e-01,6.0663712077993162e-10,1,True,tight
8,253x253,9.9999999474033263e-01,6.0948956171536407e-10,1,True,tight
9,253x253,9.9999999473744472e-01,6.0837150631103321e-10,1,True,tight
10,253x253,9.9999999473749401e-01,6.0707057206031242e-10,1,True,tight
11,253x253,9.9999999474166013e-01,6.0405102152926928e-10,1,True,tight
12,253x253,9.9999999474810342e-01,6.0059701000594866e-10,1,True,tight
13,253x253,9.9999999476254364e-01,5.9479461604791144e-10,1,True,tight
14,253x253,9.9999999479739032e-01,5.8438328741663231e-10,1,True,tight
15,253x253,9.9999999486564384e-01,5.7275002331433838e-10,1,True,tight
16,253x253,9.9999999494491421e-01,5.9482403022062901e-10,1,True,tight
17,253x253,9.9999999513203053e-01,6.0188448477323021e-10,1,True,tight
18,253x253,9.9999999561270192e-01,5.6500831178582051e-10,1,True,tight
19,26x26,9.9999999740060952e-01,2.1322092880155591e-10,1,True,tight
20,22x22,9.9999999666878348e-01,4.0166910084117004e-10,1,True,tight
21,26x26,9.9999999752265478e-01,1.7415377383777782e-10,1,True,tight
22,22x22,9.9999999684520924e-01,3.8553520203748111e-10,1,True,tight
23,26x26,9.9999999861082922e-01,1.2583149534247695e-10,1,True,tight
24,26x26,9.9999999860740085e-01,1.2968128827131972e-10,1,True,tight
25,26x26,9.9999999826838737e-01,1.5782800468156826e-10,1,True,tight
26,26x26,9.9999999857671673e-01,1.4485791071501415e-10,1,True,tight
27,26x26,9.9999999860152078e-01,1.2562348610545921e-10,1,True,tight
28,22x22,9.9999999671036832e-01,3.7813462120096220e-10,1,True,tight
29,22x22,9.9999999649890614e-01,4.1798010177788805e-10,1,True,tight
30,22x22,9.9999999693181774e-01,3.7048891917853528e-10,1,True,tight
31,22x22,9.9999999676519791e-01,4.0274254936613717e-10,1,True,tight
32,22x22,9.9999999805403972e-01,3.3330932491587010e-10,1,True,tight
33,22x22,9.9999999808356721e-01,3.3768360949937899e-10,1,True,tight
34,22x22,9.9999999781067495e-01,2.8999113020009061e-10,1,True,tight
35,22x22,9.9999999801929229e-01,3.5245514596911837e-10,1,True,tight
36,22x22,9.9999999805470519e-01,2.9566848245605953e-10,1,True,tight
37,22x22,9.9999999648320159e-01,4.2944105810668008e-10,1,True,tight
38,22x22,9.9999999638805304e-01,4.3660139565124352e-10,1,True,tight
39,22x22,9.9999999682569196e-01,3.9165768091625496e-10,1,True,tight
40,22x22,9.9999999669708828e-01,4.1234552430041587e-10,1,True,tight
41,22x22,9.9999999780929816e-01,3.9213818636732550e-10,1,True,tight
42,22x22,9.9999999796455596e-01,3.6339482485085444e-10,1,True,tight
43,22x22,9.9999999758674385e-01,3.1493533485531515e-10,1,True,tight
44,22x22,9.9999999786347127e-01,3.8771868595264071e-10,1,True,tight
45,22x22,9.9999999787625715e-01,3.0606755006415236e-10,1,True,tight
46,22x22,9.9999999637008696e-01,4.5233457890066074e-10,1,True,tight
47,22x22,9.9999999635651016e-01,4.4120713944217710e-10,1,True,tight
48,22x22,9.9999999674240048e-01,4.1689269837580039e-10,1,True,tight
49,22x22,9.9999999668504613e-01,4.1259315320618187e-10,1,True,tight
50,22x22,9.9999999769251247e-01,4.0530296876613157e-10,1,True,tight
51,22x22,9.9999999789596805e-01,3.7093981025467732e-10,1,True,tight
52,22x22,9.9999999740292012e-01,3.5008614725764960e-10,1,True,tight
53,22x22,9.9999999777121595e-01,3.9385264139829223e-10,1,True,tight
54,22x22,9.9999999775633464e-01,3.3500281138606073e-10,1,True,tight
55,22x22,9.9999999633865833e-01,4.5852136840780955e-10,1,True,tight
56,22x22,9.9999999634787540e-01,4.4453166177068491e-10,1,True,tight
57,22x22,9.9999999672563411e-01,4.1919538864139555e-10,1,True,tight
58,22x22,9.9999999668508566e-01,4.1920320320758473e-10,1,True,tight
59,22x22,9.9999999764869840e-01,4.0546277432174304e-10,1,True,tight
60,22x22,9.9999999784478477e-01,3.8114359290217120e-10,1,True,tight
61,22x22,9.9999999738006551e-01,3.5734246767414908e-10,1,True,tight
62,22x22,9.9999999773198434e-01,3.9782157386184953e-10,1,True,tight
63,22x22,9.9999999770020598e-01,3.5144184842807782e-10,1,True,tight
64,22x22,9.9999999633044989e-01,4.6333360274468293e-10,1,True,tight
65,22x22,9.9999999633740733e-01,4.4961716126508290e-10,1,True,tight
66,22x22,9.9999999672772177e-01,4.2463249247255311e-10,1,True,tight
67,22x22,9.9999999668999340e-01,4.2218969832231691e-10,1,True,tight
68,22x22,9.9999999763879155e-01,4.0923407137805506e-10,1,True,tight
69,22x22,9.9999999783042748e-01,3.8840978025019448e-10,1,True,tight
70,22x22,9.9999999736147538e-01,3.6932082538840723e-10,1,True,tight
71,22x22,9.9999999771324843e-01,4.0351377916320685e-10,1,True,tight
72,22x22,9.9999999768159464e-01,3.5808126029894917e-10,1,True,tight
73,22x22,9.9999999632210324e-01,4.7045135030490206e-10,1,True,tight
74,22x22,9.9999999633079095e-01,4.5203968333460410e-10,1,True,tight
75,22x22,9.9999999673252438e-01,4.2951506150941835e-10,1,True,tight
76,22x22,9.9999999669904627e-01,4.2044175882598771e-10,1,True,tight
77,22x22,9.9999999764001757e-01,4.1371890159878715e-10,1,True,tight
78,22x22,9.9999999782415949e-01,3.9466882727827924e-10,1,True,tight
79,22x22,9.9999999738311851e-01,3.6550601383056472e-10,1,True,tight
80,22x22,9.9999999769502756e-01,4.1321638026209869e-10,1,True,tight
81,22x22,9.9999999768471926e-01,3.5672625119447684e-10,1,True,tight
82,22x22,9.9999999631578818e-01,4.7511956623840811e-10,1,True,tight
83,22x22,9.9999999632974090e-01,4.5148080449307450e-10,1,True,tight
84,22x22,9.9999999673650286e-01,4.3109068965549161e-10,1,True,tight
85,22x22,9.9999999670713380e-01,4.1728828786702721e-10,1,True,tight
86,22x22,9.9999999764650260e-01,4.1577100355907302e-10,1,True,tight
87,22x22,9.9999999782159810e-01,3.9742944429724198e-10,1,True,tight
88,22x22,9.9999999742029178e-01,3.5106003972432329e-10,1,True,tight
89,22x22,9.9999999768148895e-01,4.2050940379736460e-10,1,True,tight
