Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 188

Worst rank proxy: 1
Minimum dominant weight: 9.9999999e-01
Maximum second weight: 8.5252886e-10
All blocks rank-one: True

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
0       351x351     9.99999996e-01       2.30349717e-10      1            tight
1       253x253     9.99999994e-01       6.82603581e-10      1            tight
2       253x253     9.99999994e-01       6.63981773e-10      1            tight
3       253x253     9.99999994e-01       7.14667919e-10      1            tight
4       253x253     9.99999994e-01       6.63530718e-10      1            tight
5       253x253     9.99999994e-01       6.62641048e-10      1            tight
6       253x253     9.99999994e-01       6.67321108e-10      1            tight
7       253x253     9.99999994e-01       6.70599018e-10      1            tight
8       253x253     9.99999994e-01       6.72317264e-10      1            tight
9       253x253     9.99999994e-01       6.72938713e-10      1            tight
10      253x253     9.99999994e-01       6.73922650e-10      1            tight
11      253x253     9.99999994e-01       6.72869788e-10      1            tight
12      253x253     9.99999994e-01       6.69924382e-10      1            tight
13      253x253     9.99999994e-01       6.63256955e-10      1            tight
14      253x253     9.99999994e-01       6.56679865e-10      1            tight
15      253x253     9.99999994e-01       6.88569667e-10      1            tight
16      253x253     9.99999994e-01       7.40664399e-10      1            tight
17      253x253     9.99999994e-01       8.52528864e-10      1            tight
18      253x253     9.99999995e-01       6.04643770e-10      1            tight
19      26x26       9.99999996e-01       2.62035055e-10      1            tight
20      22x22       9.99999995e-01       5.58761278e-10      1            tight
21      26x26       9.99999996e-01       2.05317584e-10      1            tight
22      22x22       9.99999996e-01       5.48017252e-10      1            tight
23      26x26       9.99999998e-01       1.75282459e-10      1            tight
24      26x26       9.99999998e-01       1.80089862e-10      1            tight
25      26x26       9.99999997e-01       2.25814505e-10      1            tight
26      26x26       9.99999998e-01       1.93796563e-10      1            tight
27      26x26       9.99999998e-01       1.81488852e-10      1            tight
28      22x22       9.99999995e-01       5.37191237e-10      1            tight
29      22x22       9.99999995e-01       5.37241423e-10      1            tight
30      22x22       9.99999996e-01       5.07758971e-10      1            tight
31      22x22       9.99999996e-01       5.40670311e-10      1            tight
32      22x22       9.99999997e-01       4.88512000e-10      1            tight
33      22x22       9.99999997e-01       4.66839089e-10      1            tight
34      22x22       9.99999997e-01       4.08249692e-10      1            tight
35      22x22       9.99999997e-01       4.88985064e-10      1            tight
36      22x22       9.99999997e-01       4.03442609e-10      1            tight
37      22x22       9.99999995e-01       5.62609113e-10      1            tight
38      22x22       9.99999995e-01       5.65599423e-10      1            tight
39      22x22       9.99999996e-01       5.28537408e-10      1            tight
40      22x22       9.99999996e-01       5.74027107e-10      1            tight
41      22x22       9.99999997e-01       4.61547412e-10      1            tight
42      22x22       9.99999997e-01       4.44167952e-10      1            tight
43      22x22       9.99999997e-01       3.66405288e-10      1            tight
44      22x22       9.99999997e-01       4.76861778e-10      1            tight
45      22x22       9.99999997e-01       3.56462702e-10      1            tight
46      22x22       9.99999995e-01       5.95487273e-10      1            tight
47      22x22       9.99999995e-01       5.37805894e-10      1            tight
48      22x22       9.99999996e-01       5.65103078e-10      1            tight
49      22x22       9.99999996e-01       5.35898189e-10      1            tight
50      22x22       9.99999997e-01       4.82992112e-10      1            tight
51      22x22       9.99999997e-01       4.65749281e-10      1            tight
52      22x22       9.99999997e-01       4.00989431e-10      1            tight
53      22x22       9.99999997e-01       4.98149575e-10      1            tight
54      22x22       9.99999997e-01       3.61740899e-10      1            tight
55      22x22       9.99999995e-01       5.68413985e-10      1            tight
56      22x22       9.99999995e-01       5.36238854e-10      1            tight
57      22x22       9.99999996e-01       5.40064791e-10      1            tight
58      22x22       9.99999996e-01       5.32477002e-10      1            tight
59      22x22       9.99999997e-01       4.60921187e-10      1            tight
60      22x22       9.99999997e-01       4.38701822e-10      1            tight
61      22x22       9.99999997e-01       3.54583596e-10      1            tight
62      22x22       9.99999997e-01       4.73561783e-10      1            tight
63      22x22       9.99999997e-01       3.42864669e-10      1            tight
64      22x22       9.99999995e-01       5.66348656e-10      1            tight
65      22x22       9.99999995e-01       5.35953733e-10      1            tight
66      22x22       9.99999996e-01       5.39202480e-10      1            tight
67      22x22       9.99999996e-01       5.30578299e-10      1            tight
68      22x22       9.99999997e-01       4.60701245e-10      1            tight
69      22x22       9.99999997e-01       4.39379255e-10      1            tight
70      22x22       9.99999997e-01       3.46376692e-10      1            tight
71      22x22       9.99999997e-01       4.75831028e-10      1            tight
72      22x22       9.99999997e-01       3.42342668e-10      1            tight
73      22x22       9.99999995e-01       5.66090846e-10      1            tight
74      22x22       9.99999995e-01       5.35203738e-10      1            tight
75      22x22       9.99999996e-01       5.39380729e-10      1            tight
76      22x22       9.99999996e-01       5.29530927e-10      1            tight
77      22x22       9.99999997e-01       4.63750627e-10      1            tight
78      22x22       9.99999997e-01       4.43340421e-10      1            tight
