global_time,mpc_iteration,local_sim_step,u_applied,k,t,u,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF2_rad,thetaF1_deg,thetaF2_deg,R1_orth_error,R2_orth_error,F1_orth_error,F2_orth_error,R1_det_error,R2_det_error,F1_det_error,F2_det_error,base_x,base_y,elbow_x,elbow_y,tip_x,tip_y,x1,y1,x2,y2,target_angle_error_norm_rad,target_angle_error_norm_deg,target_step_error_norm_rad,target_step_error_norm_deg,target_error_R1_deg,target_error_R2_deg,target_error_F1_deg,target_error_F2_deg
0.0000000000000000e+00,0,0,3.6869799728536616e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6869799728536616e+00,8.7266462599716474e-02,8.7266462599716474e-02,5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2501662875683853e-18,3.2501662875683853e-18,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3577871373829083e-02,-4.9809734904587277e-01,8.7155742747658166e-02,-9.9619469809174555e-01,2.1788935686914541e-02,-2.4904867452293639e-01,6.5366807060743631e-02,-7.4714602356880921e-01,4.3194695232095226e+00,2.4748737341529164e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.7500000000000000e+02,-1.7500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e-03,0,1,3.6869799728536616e+00,1.0000000000000000e+00,1.0000000000000000e-03,3.6869799728536616e+00,8.7223453331350217e-02,8.7352801066519867e-02,4.9975357504426681e+00,5.0049468297574649e+00,-4.3009268366259026e-05,8.6338466803404998e-05,-2.4642495573321634e-03,4.9468297574654704e-03,1.5707523650104566e-16,2.3466410479764517e-18,4.0997586359661921e-21,1.5700924587167540e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3556448530972944e-02,-4.9809922283754743e-01,8.7177324703762119e-02,-9.9619280758033268e-01,2.1778224265486468e-02,-2.4904961141877369e-01,6.5366886617367531e-02,-7.4714601520893997e-01,4.3194388858078296e+00,2.4748561802147938e+02,9.6457907998179088e-05,5.5266310289568488e-03,-1.7500246424955733e+02,-1.7499505317024253e+02,-2.4642495573351940e-03,4.9468297574711360e-03
2.0000000000000000e-03,0,2,3.6869799728536616e+00,2.0000000000000000e+00,2.0000000000000000e-03,3.6869799728536616e+00,8.7137438929784997e-02,8.7525473299258541e-02,4.9926074882556373e+00,5.0148402199324913e+00,-8.6014401565210127e-05,1.7267223273867126e-04,-4.9282621870300027e-03,9.8933901750265438e-03,4.0455463936169364e-18,1.5706897075824516e-16,1.9587116787886785e-21,1.6634484841034596e-22,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.3513604663327599e-02,-4.9810296747680960e-01,8.7220487116786261e-02,-9.9618901268004512e-01,2.1756802331663803e-02,-2.4905148373840480e-01,6.5367045890056930e-02,-7.4714599007842730e-01,4.3193776172142542e+00,2.4748210758965081e+02,1.9290976449019728e-04,1.1052915332150982e-02,-1.7500739251174434e+02,-1.7498515978006751e+02,-4.9282621870353899e-03,9.8933901750378472e-03
3.0000000000000001e-03,0,3,3.6869799728536616e+00,3.0000000000000000e+00,3.0000000000000001e-03,3.6869799728536616e+00,8.7008428236339738e-02,8.7784470407148124e-02,4.9852157200091680e+00,5.0296796611206593e+00,-1.2901069344525859e-04,2.5899710788957885e-04,-7.3917682464693909e-03,1.4839441188167305e-02,1.1106711320218802e-16,2.2229570374655807e-16,3.9514629494995244e-21,2.0261866799165965e-20,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3449343692149561e-02,-4.9810857705195305e-01,8.7285227523435829e-02,-9.9618328559348290e-01,2.1724671846074781e-02,-2.4905428852597652e-01,6.5367285607792688e-02,-7.4714593132271800e-01,4.3192857290820026e+00,2.4747684278748545e+02,2.8934972078506482e-04,1.6578517804273007e-02,-1.7501478427999083e+02,-1.7497032033887936e+02,-7.3917682464582479e-03,1.4839441188173113e-02
4.0000000000000001e-03,0,4,3.6869799728536616e+00,4.0000000000000000e+00,4.0000000000000001e-03,3.6869799728536616e+00,8.6836434775663524e-02,8.8129779362174115e-02,4.9753612206085718e+00,5.0494644068717207e+00,-1.7199346067620883e-04,3.4530895502598869e-04,-9.8544994005960555e-03,1.9784745751061907e-02,7.4311186536828616e-18,1.5726277225029472e-16,1.6319917086056441e-20,1.9528608998379545e-20,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.3363671631958450e-02,-4.9811604268744014e-01,8.7371542503500571e-02,-9.9617558461124833e-01,2.1681835815979229e-02,-2.4905802134372007e-01,6.5367607067729511e-02,-7.4714581364934429e-01,4.3191632384838146e+00,2.4746982459317925e+02,3.8577198568123257e-04,2.2103106633915851e-02,-1.7502463877939144e+02,-1.7495053559312828e+02,-9.8544994006019571e-03,1.9784745751052518e-02
5.0000000000000001e-03,0,5,3.6869799728536616e+00,5.0000000000000000e+00,5.0000000000000001e-03,3.6869799728536616e+00,8.6621476720668764e-02,8.8561383080728737e-02,4.9630450312850307e+00,5.0741934783670528e+00,-2.1495805499476169e-04,4.3160371855463221e-04,-1.2316189323540890e-02,2.4729071495332645e-02,2.2219332052691526e-16,2.3828236092855537e-18,1.5700924594019058e-16,1.7025801824366040e-20,2.2204460492503131e-16,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3256596575233432e-02,-4.9812535254966445e-01,8.7479427691525502e-02,-9.9616585412364278e-01,2.1628298287616719e-02,-2.4906267627483222e-01,6.5368012133379477e-02,-7.4714560333665359e-01,4.3190101678749624e+00,2.4746105429332451e+02,4.8217085693473988e-04,2.7626355106566816e-02,-1.7503695496871498e+02,-1.7492580652163295e+02,-1.2316189323532043e-02,2.4729071495328037e-02
6.0000000000000001e-03,0,6,3.6869799728536616e+00,6.0000000000000000e+00,6.0000000000000001e-03,3.6869799728536616e+00,8.6363576845273141e-02,8.9079260534123322e-02,4.9482684568879121e+00,5.1038656707515457e+00,-2.5789987539562780e-04,5.1787745339459349e-04,-1.4776574397119295e-02,2.9672192384493194e-02,4.5776357878493492e-16,6.2228299244680580e-18,3.5520606750746696e-20,2.5310887820779751e-21,3.3306690738754696e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3128128671754730e-02,-4.9813649185466485e-01,8.7608877792943782e-02,-9.9615402463600966e-01,2.1564064335877365e-02,-2.4906824592733240e-01,6.5368503232349259e-02,-7.4714525824533717e-01,4.3188265450431569e+00,2.4745053348003981e+02,5.7854075263856475e-04,3.3147943402511905e-02,-1.7505173154311208e+02,-1.7489613432924844e+02,-1.4776574397111067e-02,2.9672192384499904e-02
7.0000000000000001e-03,0,7,3.6869799728536616e+00,7.0000000000000000e+00,7.0000000000000001e-03,3.6869799728536616e+00,8.6062762465023729e-02,8.9683386887876040e-02,4.9310330624827765e+00,5.1384795611142042e+00,-3.0081438024941192e-04,6.0412635375272077e-04,-1.7235394405134812e-02,3.4613890362658266e-02,4.9650808250179792e-16,1.1835870981190899e-17,1.1102230756018080e-16,3.5870669390624008e-21,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2978280102620885e-02,-4.9814944287775798e-01,8.7759886604653725e-02,-9.9614001278756770e-01,2.1489140051310442e-02,-2.4907472143887896e-01,6.5369083353637308e-02,-7.4714472783266284e-01,4.3186124030454485e+00,2.4743826404735464e+02,6.7487624247962506e-04,3.8667560387730081e-02,-1.7506896693751722e+02,-1.7486152043888580e+02,-1.7235394405122874e-02,3.4613890362665260e-02
8.0000000000000002e-03,0,8,3.6869799728536616e+00,8.0000000000000000e+00,8.0000000000000002e-03,3.6869799728536616e+00,8.5719065365694638e-02,9.0373733669651790e-02,4.9113406692603316e+00,5.1780335181103929e+00,-3.4369709932909943e-04,6.9034678177574374e-04,-1.9692393222446036e-02,3.9553956996188973e-02,4.4408929812754941e-16,3.1434454143880465e-16,3.1401849221982224e-16,3.5754450467778747e-20,3.3306690738754696e-16,2.2204460492503131e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2807065048979645e-02,-4.9816418496504988e-01,8.7932447040018513e-02,-9.9612372137354444e-01,2.1403532524489819e-02,-2.4908209248252494e-01,6.5369756044499072e-02,-7.4714395316929716e-01,4.3183677801322409e+00,2.4742424818685564e+02,7.7117207884838332e-04,4.4184905396342310e-02,-1.7508865933073966e+02,-1.7482196648188960e+02,-1.9692393222435187e-02,3.9553956996193289e-02
9.0000000000000011e-03,0,9,3.6869799728536616e+00,9.0000000000000000e+00,9.0000000000000011e-03,3.6869799728536616e+00,8.5332521719966803e-02,9.1150268965709616e-02,4.8891933497625262e+00,5.2225257132174487e+00,-3.8654364572782786e-04,7.7653529605782178e-04,-2.2147319497804629e-02,4.4492195107055064e-02,4.4422680820612755e-16,3.1401864911144199e-16,1.5700924592377742e-16,6.9309814083921146e-21,3.3306690738754696e-16,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2614499655517564e-02,-4.9818069454677777e-01,8.8126551158262692e-02,-9.9610503937037786e-01,2.1307249827758782e-02,-2.4909034727338888e-01,6.5370525406890131e-02,-7.4714286695857790e-01,4.3180927196585337e+00,2.4740848838260135e+02,8.6742322777068077e-04,4.9699690002875115e-02,-1.7511080665023746e+02,-1.7477747428678256e+02,-2.2147319497801087e-02,4.4492195107054502e-02
