Moment matrix rank condition
================================================================================
Rank threshold: 1.00e-02
Dominant weight threshold: 0.999
Number of moment matrices: 196

Worst rank proxy: 6
Minimum dominant weight: 4.3604863e-01
Maximum second weight: 4.6308722e-01
All blocks rank-one: False

Per-block rank proxy
--------------------------------------------------------------------------------
block   shape       dominant_weight      second_weight       rank_proxy   status
0       91x91       9.99998267e-01       2.09608017e-08      1            tight
1       253x253     9.82016244e-01       1.75397400e-02      2            not tight
2       253x253     9.32445978e-01       4.21201522e-02      3            not tight
3       253x253     9.78209890e-01       1.96651005e-02      2            not tight
4       253x253     9.75788125e-01       1.75956101e-02      2            not tight
5       253x253     6.28741071e-01       1.44193771e-01      6            not tight
6       253x253     9.35282385e-01       2.62843767e-02      3            not tight
7       253x253     8.98302033e-01       4.96929913e-02      4            not tight
8       253x253     9.59835373e-01       2.00860109e-02      3            not tight
9       253x253     9.33138414e-01       4.76756310e-02      2            not tight
10      253x253     9.60528304e-01       3.33339861e-02      2            not tight
11      253x253     9.63789189e-01       2.33235687e-02      2            not tight
12      253x253     9.73368120e-01       9.61459134e-03      1            not tight
13      253x253     9.86956894e-01       3.99069631e-03      1            not tight
14      253x253     9.91165139e-01       2.80876972e-03      1            not tight
15      253x253     9.92132766e-01       2.58744870e-03      1            not tight
16      253x253     9.92353763e-01       2.56321007e-03      1            not tight
17      253x253     9.92508478e-01       2.52940037e-03      1            not tight
18      253x253     9.92949253e-01       2.38234929e-03      1            not tight
19      253x253     9.94149115e-01       1.89886633e-03      1            not tight
20      91x91       9.99896014e-01       3.12681500e-05      1            tight
21      13x13       9.99998157e-01       1.54605427e-07      1            tight
22      22x22       9.80442990e-01       1.95359451e-02      2            not tight
23      13x13       9.99998158e-01       1.54299483e-07      1            tight
24      22x22       9.80442990e-01       1.95359451e-02      2            not tight
25      22x22       9.79457968e-01       2.05181250e-02      2            not tight
26      22x22       9.69971400e-01       1.89760511e-02      2            not tight
27      22x22       8.89035225e-01       1.10787385e-01      2            not tight
28      22x22       5.11285026e-01       3.68664901e-01      4            not tight
29      22x22       9.80414012e-01       1.95647048e-02      2            not tight
30      22x22       9.79755467e-01       2.02227493e-02      2            not tight
31      22x22       9.79432659e-01       2.05460215e-02      2            not tight
32      22x22       9.80483939e-01       1.94951897e-02      2            not tight
33      22x22       9.80485285e-01       1.94938435e-02      2            not tight
34      22x22       9.71942212e-01       1.80566663e-02      2            not tight
35      22x22       9.82367687e-01       1.61897216e-02      2            not tight
36      22x22       4.36048634e-01       2.92956481e-01      4            not tight
37      22x22       7.88271189e-01       1.89547693e-01      3            not tight
38      22x22       9.71382250e-01       1.82494984e-02      2            not tight
39      22x22       9.72624387e-01       1.81000506e-02      2            not tight
40      22x22       9.78803414e-01       1.75118797e-02      2            not tight
41      22x22       9.71569193e-01       1.82114063e-02      2            not tight
42      22x22       9.73811068e-01       1.81530821e-02      2            not tight
43      22x22       9.82518065e-01       1.60659379e-02      2            not tight
44      22x22       9.75584403e-01       2.14405302e-02      2            not tight
45      22x22       9.58683544e-01       3.84987881e-02      2            not tight
46      22x22       9.39775147e-01       5.07440585e-02      2            not tight
47      22x22       9.82412749e-01       1.61650303e-02      2            not tight
48      22x22       9.83480267e-01       1.51621365e-02      2            not tight
49      22x22       9.89905259e-01       4.03732945e-03      1            not tight
50      22x22       9.82461600e-01       1.61498098e-02      2            not tight
51      22x22       9.81824368e-01       1.65570610e-02      2            not tight
52      22x22       9.75021660e-01       2.18990435e-02      2            not tight
53      22x22       5.17416837e-01       3.76570916e-01      3            not tight
