block_index,matrix_shape,dominant_weight,second_weight,rank_proxy,is_rank_one,status
0,91x91,9.9999959211009415e-01,4.8635206689310482e-09,1,True,tight
1,253x253,8.4989332910091919e-01,1.2598447422206488e-01,3,False,not tight
2,253x253,9.8193497514263717e-01,1.0495920258229055e-02,2,False,not tight
3,253x253,9.7501270033856280e-01,1.9977872362864784e-02,2,False,not tight
4,253x253,9.9692208080070188e-01,2.4422200697751337e-03,1,False,not tight
5,253x253,5.8182596787784990e-01,2.1444298739997605e-01,6,False,not tight
6,253x253,9.6060698347763396e-01,2.2681890416904864e-02,2,False,not tight
7,253x253,9.6614467831574280e-01,1.7047843522296074e-02,2,False,not tight
8,253x253,9.9213706001065793e-01,2.7902509446299495e-03,1,False,not tight
9,253x253,9.7961696338402660e-01,1.2636357739088064e-02,2,False,not tight
10,253x253,9.8216729885370768e-01,8.1181636657828102e-03,1,False,not tight
11,253x253,9.9221583071409658e-01,4.6997338843889833e-03,1,False,not tight
12,253x253,9.7717785321637640e-01,9.4113023043257797e-03,1,False,not tight
13,253x253,9.8722371778728812e-01,4.4530382612000098e-03,1,False,not tight
14,253x253,9.9484345245810657e-01,1.8977773582829285e-03,1,False,not tight
15,253x253,9.9741841311133383e-01,8.0877062275066570e-04,1,False,not tight
16,253x253,9.9823831032800203e-01,5.7304727036413389e-04,1,False,not tight
17,253x253,9.9845800314555633e-01,5.1543979993085313e-04,1,False,not tight
18,253x253,9.9858650422919060e-01,4.7700245697932414e-04,1,False,not tight
19,253x253,9.9883879886457538e-01,3.7778142932803492e-04,1,False,not tight
20,91x91,9.9997941012730074e-01,6.1299949262706679e-06,1,True,tight
21,13x13,9.9999955225144321e-01,3.7534230511898662e-08,1,True,tight
22,22x22,9.6627150595127165e-01,3.3562385294444046e-02,2,False,not tight
23,13x13,9.9999945753320807e-01,4.5364636500736523e-08,1,True,tight
24,22x22,9.6627142334551741e-01,3.3562386357555277e-02,2,False,not tight
25,22x22,9.6434919242427564e-01,3.5479403600580238e-02,2,False,not tight
26,22x22,9.7650763070235058e-01,2.1912285381801413e-02,2,False,not tight
27,22x22,9.5182002819315381e-01,4.7977911606928693e-02,2,False,not tight
28,22x22,8.1753412359763611e-01,1.6635754221640436e-01,3,False,not tight
29,22x22,9.6632145898572330e-01,3.3513916209766320e-02,2,False,not tight
30,22x22,9.6679377041537962e-01,3.3048010531024595e-02,2,False,not tight
31,22x22,9.7339039553489737e-01,2.6534965003962786e-02,2,False,not tight
32,22x22,9.6629602139621473e-01,3.3538393205345331e-02,2,False,not tight
33,22x22,9.6894786084379891e-01,3.0923467087452285e-02,2,False,not tight
34,22x22,9.7897444964842628e-01,1.9694628624923258e-02,2,False,not tight
35,22x22,9.9045995338228299e-01,8.2614543214643565e-03,1,False,not tight
36,22x22,9.9663881854881120e-01,2.8530213490113314e-03,1,False,not tight
37,22x22,9.9424095919188626e-01,5.0664804234235245e-03,1,False,not tight
38,22x22,9.7814849325330988e-01,2.0445340486061857e-02,2,False,not tight
39,22x22,9.7783276851898326e-01,2.0790478567503008e-02,2,False,not tight
40,22x22,9.7441325545568658e-01,2.4213964910361277e-02,2,False,not tight
41,22x22,9.7803337279419056e-01,2.0469611147122535e-02,2,False,not tight
42,22x22,9.7812201740025861e-01,2.0506873194721911e-02,2,False,not tight
43,22x22,9.9062101822254112e-01,8.0809997658582659e-03,1,False,not tight
44,22x22,9.9737483306318642e-01,2.3114001483784336e-03,1,False,not tight
45,22x22,9.6522539795689688e-01,2.4250739601359424e-02,2,False,not tight
46,22x22,7.6426419231850551e-01,2.0922308636019829e-01,3,False,not tight
47,22x22,9.9045900922980423e-01,8.2761561100466782e-03,1,False,not tight
48,22x22,9.9140352411960075e-01,7.4726951879601419e-03,1,False,not tight
49,22x22,9.9725837525467242e-01,2.0391234469189405e-03,1,False,not tight
50,22x22,9.9079791226255753e-01,7.9848240637615357e-03,1,False,not tight
51,22x22,9.9247420436940947e-01,6.4274614633889129e-03,1,False,not tight
52,22x22,9.9683334603675000e-01,2.7827861476501588e-03,1,False,not tight
53,22x22,8.4158752707466866e-01,1.0777281815734918e-01,3,False,not tight
54,22x22,9.9846716907773481e-01,1.4086827770676165e-03,1,False,not tight
55,22x22,8.9668153516655191e-01,7.0916387786264218e-02,3,False,not tight
56,22x22,9.9682421627615647e-01,2.7827972935386665e-03,1,False,not tight
57,22x22,9.8981926361265860e-01,8.8288165370432933e-03,1,False,not tight
58,22x22,8.8515006070520419e-01,1.0252854309904622e-01,2,False,not tight
59,22x22,9.9590854902588666e-01,3.5667592517252284e-03,1,False,not tight
60,22x22,9.9621034804570463e-01,3.3065321240214334e-03,1,False,not tight
61,22x22,8.8166100548346271e-01,7.2358929958501073e-02,3,False,not tight
62,22x22,9.7678213428722271e-01,1.8779121069955149e-02,2,False,not tight
63,22x22,9.0132665437096637e-01,5.8878823237887366e-02,3,False,not tight
64,22x22,9.7975280981220170e-01,1.8185322462196400e-02,2,False,not tight
65,22x22,8.6652901278926686e-01,9.0869567156541667e-02,3,False,not tight
