k,kin_error_link1,kin_error_link2
0,2.3315593217148799e-08,2.3305848693168931e-08
1,7.5945624875361148e-03,2.6495845970921587e-02
2,5.6824230984170443e-03,2.0017816477685663e-02
3,4.4156843976820848e-03,2.9927623867589074e-02
4,2.5775632089419430e-02,4.0521534249973082e-02
5,3.6091145665868817e-02,1.3321573860443509e-01
6,3.0087152216369800e-02,1.0078678602859956e-01
7,8.0354436841671047e-03,2.6496458900711325e-02
8,3.4000713797637770e-03,1.0361972452103076e-02
9,2.7580593171181956e-03,4.5784161908144069e-03
10,1.1590080759716341e-03,7.0918061498598641e-03
11,1.1719073812516390e-03,2.3869673827440021e-03
12,6.7511519200610568e-04,1.5384472481313632e-03
13,3.3431403901933903e-04,7.0841454437929239e-04
14,1.4677586111088426e-04,2.6945663792106081e-04
15,6.1586082448805829e-05,1.2537601963328663e-04
16,3.9802029190991485e-05,7.9882074693047393e-05
17,3.5659665669968209e-05,6.8137144854843169e-05
18,4.8750925096103202e-05,8.9408544471888347e-05
19,2.9118782719592928e-05,4.2461394432223623e-05
