k,R1_00,R1_01,R1_10,R1_11,R2_00,R2_01,R2_10,R2_11,F1_00,F1_01,F1_10,F1_11,F2_00,F2_01,F2_10,F2_11,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF1_deg,thetaF2_rad,thetaF2_deg,lambda0_x,lambda0_y,lambda12_x,lambda12_y,u,SO2_R1_orth_error,SO2_R2_orth_error,SO2_R1_det_error,SO2_R2_det_error,SO2_F1_orth_error,SO2_F1_det_error,SO2_F2_orth_error,SO2_F2_det_error
0.0000000000000000e+00,9.9619468399668631e-01,-8.7155741540084722e-02,8.7155741540084722e-02,9.9619468399668631e-01,9.9619468397943378e-01,-8.7155741530101458e-02,8.7155741530101458e-02,9.9619468397943378e-01,9.7707348600831512e-01,2.1290226481036068e-01,-2.1290226481036068e-01,9.7707348600831512e-01,8.9365412756334384e-01,-4.4875636141313097e-01,4.4875636141313097e-01,8.9365412756334384e-01,8.7266462625203559e-02,8.7266462616761950e-02,5.0000000014603021e+00,5.0000000009766339e+00,-2.1454437146987126e-01,-1.2292487003510574e+01,4.6537322614281212e-01,2.6663921756370360e+01,nan,nan,nan,nan,nan,4.0012825472797065e-08,4.0063898382348609e-08,-2.8293340115226329e-08,-2.8329454115905151e-08,4.0415646823904516e-08,-2.8578177824201134e-08,4.0135729013268671e-08,-2.8380246042125634e-08
1.0000000000000000e+00,9.9191108376031378e-01,1.2693454224518344e-01,-1.2693454224518344e-01,9.9191108376031378e-01,8.5114181175819248e-01,-5.2493579848078376e-01,5.2493579848078376e-01,8.5114181175819248e-01,9.3722602205670813e-01,3.4773056654109541e-01,-3.4773056654109541e-01,9.3722602205670813e-01,5.1376260708896304e-01,-8.5362252874945854e-01,8.5362252874945854e-01,5.1376260708896304e-01,-1.2727790879400458e-01,5.5263968879373015e-01,-7.2924869991474877e+00,3.1663921759303996e+01,-3.5527770540192771e-01,-2.0355913074622666e+01,1.0290091390512044e+00,5.8957880748024479e+01,-7.2867732455257717e-01,1.2034489700506403e+00,-8.3883450630356321e-02,8.5946152210634996e-01,1.2111995370399429e+00,3.3797505824699203e-08,3.3588029741194462e-08,-2.3898445555836645e-08,-2.3750323596694045e-08,9.7699059201278911e-04,-6.9083667276759186e-04,1.0432033979582953e-02,-7.3765619685317585e-03
2.0000000000000000e+00,8.8769608754891971e-01,4.5898093694796877e-01,-4.5898093694796877e-01,8.8769608754891971e-01,7.5259861606957242e-03,-9.9240872221537435e-01,9.9240872221537435e-01,7.5259861606957242e-03,9.9827733467260860e-01,3.4037028916795421e-02,-3.4037028916795421e-02,9.9827733467260860e-01,7.7328951888907904e-01,-6.2208526103053485e-01,6.2208526103053485e-01,7.7328951888907904e-01,-4.7719231884175867e-01,1.5632129171338560e+00,-2.7341105885693885e+01,8.9565502632103644e+01,-3.4082561367054079e-02,-1.9527869213278282e+00,6.7745829256762347e-01,3.8815500960263769e+01,1.5018148293602624e+00,4.6373196725056438e+00,5.5596176706342471e-01,-1.9681771059177073e+00,9.3164183923695365e-01,1.8839526138753346e-03,2.1309776690122982e-02,-1.3321556687055924e-03,-1.5068287603157038e-02,3.2298427935275567e-03,-2.2838437414698376e-03,2.1260223186718316e-02,-1.5033247984868048e-02
3.0000000000000000e+00,8.7010967708871501e-01,4.9239928288296719e-01,-4.9239928288296719e-01,8.7010967708871501e-01,-6.2181406083517521e-01,-7.8184084730042303e-01,7.8184084730042303e-01,-6.2181406083517521e-01,9.7637471926695429e-01,-2.1498905019138115e-01,2.1498905019138115e-01,9.7637471926695429e-01,5.0544904722802220e-01,-8.5997018203535924e-01,8.5997018203535924e-01,5.0544904722802220e-01,-5.1497216761591491e-01,2.2426774006254027e+00,-2.9505731771095533e+01,1.2849594986520566e+02,2.1673260154570900e-01,1.2417863351459667e+01,1.0394315165797450e+00,5.9555038992901842e+01,7.9007039314723171e-01,7.0601284178444530e+00,6.5736716210943968e-01,-3.8187400540882086e+00,4.2253575781141182e+00,6.3936036952313199e-04,2.9304813577780680e-03,-4.5209605291185451e-04,-2.0721632402256329e-03,6.6767267228256145e-04,-4.7211587418394263e-04,7.0322429350932955e-03,-4.9725466663557150e-03
4.0000000000000000e+00,9.5364024166120664e-01,2.9113223119234988e-01,-2.9113223119234988e-01,9.5364024166120664e-01,-9.7222292147442624e-01,1.2408368261050798e-01,-1.2408368261050798e-01,-9.7222292147442624e-01,8.6110278945830609e-01,-4.9999828005478586e-01,4.9999828005478586e-01,8.6110278945830609e-01,9.7375185415177568e-01,3.0302577654777632e-02,-3.0302577654777632e-02,9.7375185415177568e-01,-2.9629850108197114e-01,-3.0146501068055578e+00,-1.6976653588049402e+01,-1.7272672782862131e+02,5.2606912172070974e-01,3.0141540406750654e+01,-3.1109364627518340e-02,-1.7824352964903731e+00,9.1652321112970636e+00,9.9609876336597889e+00,-7.2891130938910687e+00,-7.2267527716543416e+00,-1.1831879756484563e+01,8.2198525031343516e-03,5.5699975898202601e-02,-5.8123134453195169e-03,-3.9385830669546373e-02,1.2026056255761844e-02,-8.5037059293801009e-03,7.1968027570124132e-02,-5.0889080323455183e-02
5.0000000000000000e+00,9.7075473064839368e-01,-2.0834346775254600e-01,2.0834346775254600e-01,9.7075473064839368e-01,-9.5578952949624885e-01,6.3212075295273229e-02,-6.3212075295273229e-02,-9.5578952949624885e-01,8.5558332251114066e-01,-4.8660170364248584e-01,4.8660170364248584e-01,8.5558332251114066e-01,9.1110997437360464e-01,1.8281582952531011e-01,-1.8281582952531011e-01,9.1110997437360464e-01,2.1141300720852413e-01,-3.0755528488618884e+00,1.2113073047217283e+01,-1.7621619790922296e+02,5.1711456455999871e-01,2.9628482074033261e+01,-1.9802218368000221e-01,-1.1345835374828495e+01,1.4325450525631074e+00,-5.0534309839307578e-01,-1.2635755172596472e+00,1.2939343154495053e+00,-1.8990688112128775e+00,2.0121787468553139e-02,1.1663105352181134e-01,-1.4228252368608585e-02,-8.2470608842204030e-02,4.4117750081083984e-02,-3.1195960253027955e-02,1.9297932179765431e-01,-1.3645698707190224e-01
6.0000000000000000e+00,7.5280310960082208e-01,-6.4096721192793948e-01,6.4096721192793948e-01,7.5280310960082208e-01,-9.6934957052444193e-01,-1.5334077572635055e-01,1.5334077572635055e-01,-9.6934957052444193e-01,8.2169774146362906e-01,-5.4644511372367743e-01,5.4644511372367743e-01,8.2169774146362906e-01,9.2345235877771825e-01,-3.0164490399122346e-01,3.0164490399122346e-01,9.2345235877771825e-01,7.0532987452200702e-01,2.9847033455448102e+00,4.0412424974602935e+01,1.7101090479829460e+02,5.8686146839367304e-01,3.3624685297807623e+01,3.1572275147001871e-01,1.8089581155489881e+01,-3.4759746450764997e+00,5.0531865163154631e-02,3.3805266140854302e+00,7.1348798464034235e-01,5.1977034945692040e+00,3.1746989289209257e-02,5.2110964855815581e-02,-2.2448511408656446e-02,-3.6848016623721058e-02,3.7067328525836149e-02,-2.6210559361088293e-02,7.9543987500178104e-02,-5.6246092963993966e-02
7.0000000000000000e+00,2.7887346567584798e-01,-9.5652148329494557e-01,9.5652148329494557e-01,2.7887346567584798e-01,-9.8457534631524080e-01,9.4094578462174255e-02,-9.4094578462174255e-02,-9.8457534631524080e-01,5.0375418298583785e-01,-8.6180559264347067e-01,8.6180559264347067e-01,5.0375418298583785e-01,5.0568364662101684e-01,-8.4981160870103378e-01,8.4981160870103378e-01,5.0568364662101684e-01,1.2871101001497236e+00,-3.0463133319332836e+00,7.3745976507239874e+01,-1.7454089699421257e+02,1.0418269337486963e+00,5.9692286286855925e+01,1.0340216587658573e+00,5.9245076972400206e+01,-6.4081892525503399e+00,-3.3747611867648444e+00,5.5028472333469649e+00,2.8261029147127648e+00,8.0357945159599868e+00,1.0318444584756283e-02,3.0769889797605185e-02,-7.2962421371787212e-03,-2.1757597732249390e-02,4.9820532152100548e-03,-3.5228436127072715e-03,3.1260171511776402e-02,-2.2104279257031512e-02
8.0000000000000000e+00,-6.8942319562999677e-01,-7.2107074082031186e-01,7.2107074082031186e-01,-6.8942319562999677e-01,-4.2148334855746850e-01,9.0267968946882571e-01,-9.0267968946882571e-01,-4.2148334855746850e-01,8.9953072617957952e-01,-4.3498845178949619e-01,4.3498845178949619e-01,8.9953072617957952e-01,6.9248205251149586e-01,7.1655801895631932e-01,-7.1655801895631932e-01,6.9248205251149586e-01,2.3337610466873819e+00,-2.0076352682611147e+00,1.3371465836722047e+02,-1.1502902767297671e+02,4.5041957020915352e-01,2.5807140383080963e+01,-8.0248328701000426e-01,-4.5978905475458767e+01,-2.9407331391039850e+00,9.9867989259331171e+00,-4.2349060269670785e-01,-4.3414118842518530e+00,-1.0356999725768681e+01,6.7212536870242005e-03,1.0636533702345758e-02,-4.7526440601698416e-03,-7.5211651092478293e-03,2.3044885326669656e-03,-1.6295194686154479e-03,9.9181801185566354e-03,-7.0132124188609923e-03
9.0000000000000000e+00,-9.3496181816569135e-01,-3.5084711293786996e-01,3.5084711293786996e-01,-9.3496181816569135e-01,-9.4266492091073717e-01,3.2922861641992368e-01,-3.2922861641992368e-01,-9.4266492091073717e-01,8.8082800066276945e-01,-4.7098239932955632e-01,4.7098239932955632e-01,8.8082800066276945e-01,5.0444826449635782e-01,8.5869031312449207e-01,-8.5869031312449207e-01,5.0444826449635782e-01,2.7826003006324567e+00,-2.8055834067192640e+00,1.5943125329807381e+02,-1.6074808827694932e+02,4.9102397407229953e-01,2.8133601354083925e+01,-1.0396466668450972e+00,-5.9567366195067642e+01,5.4660695310092566e-01,9.9887303982576228e+00,-1.4261749281368952e+00,-6.6041847772809268e+00,-4.0749312444624799e+00,3.8929083820227351e-03,4.2304289736223629e-03,-2.7527019154661714e-03,-2.9913650145764192e-03,3.2775994119495075e-03,-2.3176127702025928e-03,1.1572360512571073e-02,-8.1828945927744368e-03
