k,t,u,thetaR1_rad,thetaR2_rad,thetaR1_deg,thetaR2_deg,thetaF1_rad,thetaF2_rad,thetaF1_deg,thetaF2_deg,R1_orth_error,R2_orth_error,F1_orth_error,F2_orth_error,R1_det_error,R2_det_error,F1_det_error,F2_det_error,base_x,base_y,elbow_x,elbow_y,tip_x,tip_y,x1,y1,x2,y2,target_angle_error_norm_rad,target_angle_error_norm_deg,target_step_error_norm_rad,target_step_error_norm_deg,target_error_R1_deg,target_error_R2_deg,target_error_F1_deg,target_error_F2_deg
0.0000000000000000e+00,0.0000000000000000e+00,3.6870591001285948e+00,8.7266462599716474e-02,8.7266462599716474e-02,5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2501662875683853e-18,3.2501662875683853e-18,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3577871373829083e-02,-4.9809734904587277e-01,8.7155742747658166e-02,-9.9619469809174555e-01,2.1788935686914541e-02,-2.4904867452293639e-01,6.5366807060743631e-02,-7.4714602356880921e-01,4.3194695232095226e+00,2.4748737341529164e+02,0.0000000000000000e+00,0.0000000000000000e+00,-1.7500000000000000e+02,-1.7500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e-03,3.6870591001285948e+00,8.7223452449626634e-02,8.7352802914549485e-02,4.9975356999236276e+00,5.0049469356417626e+00,-4.3010150089836802e-05,8.6340314833015740e-05,-2.4643000763718672e-03,4.9469356417625810e-03,2.4465511567646537e-18,1.1114902262119191e-16,2.0581578047825827e-21,1.1102230263065379e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.3556448091787110e-02,-4.9809922287595215e-01,8.7177325185067989e-02,-9.9619280753812478e-01,2.1778224045893555e-02,-2.4904961143797608e-01,6.5366886638427546e-02,-7.4714601520703838e-01,4.3194388851245895e+00,2.4748561798233260e+02,9.6459955298855015e-05,5.5267483306449738e-03,-1.7500246430007638e+02,-1.7499505306435822e+02,-2.4643000763751987e-03,4.9469356417750363e-03
2.0000000000000000e+00,2.0000000000000000e-03,3.6870591001285948e+00,8.7137436284726338e-02,8.7525478843268681e-02,4.9926073367049399e+00,5.0148405375808736e+00,-8.6016164900295890e-05,1.7267592871918357e-04,-4.9283632186882843e-03,9.8936019391110616e-03,2.4838885502924632e-16,1.1109631315542525e-16,1.5700924600094963e-16,9.3285588360773428e-21,2.2204460492503131e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3513603345816033e-02,-4.9810296759190564e-01,8.7220488560668774e-02,-9.9618901255282966e-01,2.1756801672908017e-02,-2.4905148379595279e-01,6.5367045953242400e-02,-7.4714599007236759e-01,4.3193776151647540e+00,2.4748210747222311e+02,1.9291385897127626e-04,1.1053149928636102e-02,-1.7500739266329506e+02,-1.7498515946241912e+02,-4.9283632186779575e-03,9.8936019391165381e-03
3.0000000000000000e+00,3.0000000000000001e-03,3.6870591001285948e+00,8.7008422946582412e-02,8.7784481494954450e-02,4.9852154169283986e+00,5.0296802964051652e+00,-1.2901333814393167e-04,2.5900265168578388e-04,-7.3919197765414425e-03,1.4839758824292332e-02,4.0554154203766690e-18,1.6935921771069115e-17,8.1474545320330316e-22,2.7113188200921859e-20,0.0000000000000000e+00,1.1102230246251565e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3449341057276061e-02,-4.9810857728178953e-01,8.7285230411118228e-02,-9.9618328533727563e-01,2.1724670528638031e-02,-2.4905428864089477e-01,6.5367285734197145e-02,-7.4714593130953255e-01,4.3192857249836338e+00,2.4747684255266623e+02,2.8935586221684272e-04,1.6578869682394047e-02,-1.7501478458307159e+02,-1.7497031970359481e+02,-7.3919197765308260e-03,1.4839758824291486e-02
4.0000000000000000e+00,4.0000000000000001e-03,3.6870591001285948e+00,8.6836425960226310e-02,8.8129797841403956e-02,4.9753607155212247e+00,5.0494654656535998e+00,-1.7199698635609004e-04,3.4531634644950176e-04,-9.8547014071731637e-03,1.9785169248433800e-02,4.7338971339354567e-18,6.2964722311141735e-18,1.2282602750738990e-20,1.4401112403199575e-20,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3363667240847753e-02,-4.9811604306970986e-01,8.7371547316146603e-02,-9.9617558418028640e-01,2.1681833620423877e-02,-2.4905802153485493e-01,6.5367607278497178e-02,-7.4714581362499821e-01,4.3191632316545681e+00,2.4746982420189224e+02,3.8578017372677196e-04,2.2103575774367720e-02,-1.7502463928447878e+02,-1.7495053453434639e+02,-9.8547014071714411e-03,1.9785169248422132e-02
5.0000000000000000e+00,5.0000000000000001e-03,3.6870591001285948e+00,8.6621463499085144e-02,8.8561410798772985e-02,4.9630442737440905e+00,5.0741950664940045e+00,-2.1496246114115154e-04,4.3161295736904640e-04,-1.2316441777132946e-02,2.4729600840406284e-02,3.1475105196627751e-16,3.1477807185237795e-16,3.1401849175251588e-16,5.1863668995806466e-23,2.2204460492503131e-16,2.2204460492503131e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3256589989227427e-02,-4.9812535312158512e-01,8.7479434910228138e-02,-9.9616585346979281e-01,2.1628294994613721e-02,-2.4906267656079259e-01,6.5368012449727814e-02,-7.4714560329568913e-01,4.3190101576336115e+00,2.4746105370653834e+02,4.8218109115643937e-04,2.7626941484276798e-02,-1.7503695572625591e+02,-1.7492580493350599e+02,-1.2316441777133775e-02,2.4729600840412452e-02
6.0000000000000000e+00,6.0000000000000001e-03,3.6870591001285948e+00,8.6363558337720761e-02,8.9079299338095455e-02,4.9482673964832715e+00,5.1038678940553774e+00,-2.5790516136438708e-04,5.1788853932245777e-04,-1.4776877260819840e-02,2.9672827561371806e-02,3.1460014082186827e-16,3.1419933226519400e-16,3.6849115489981916e-21,5.1578848255486794e-20,4.4408920985006262e-16,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3128119452467507e-02,-4.9813649265286086e-01,8.7608887898714988e-02,-9.9615402370817552e-01,2.1564059726233761e-02,-2.4906824632643046e-01,6.5368503675591272e-02,-7.4714525818051825e-01,4.3188265307094413e+00,2.4745053265877840e+02,5.7855303250434263e-04,3.3148646986993963e-02,-1.7505173260351671e+02,-1.7489613210594462e+02,-1.4776877260825166e-02,2.9672827561370897e-02
7.0000000000000000e+00,7.0000000000000001e-03,3.6870591001285948e+00,8.6062737792450189e-02,8.9683438624579781e-02,4.9310316488484434e+00,5.1384825254089739e+00,-3.0082054527057916e-04,6.0413928648433686e-04,-1.7235747634828304e-02,3.4614631353597443e-02,4.9672256997968954e-16,3.1555978665004851e-16,9.6234687618110485e-21,6.0434778337102531e-20,4.4408920985006262e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2978267811992113e-02,-4.9814944393814259e-01,8.7759900078415470e-02,-9.9614001153109899e-01,2.1489133905996060e-02,-2.4907472196907135e-01,6.5369083945203799e-02,-7.4714472773462093e-01,4.3186123839402519e+00,2.4743826295270750e+02,6.7489056737407333e-04,3.8668381143723937e-02,-1.7506896835115154e+02,-1.7486151747459104e+02,-1.7235747634828689e-02,3.4614631353588068e-02
8.0000000000000000e+00,8.0000000000000002e-03,3.6870591001285948e+00,8.5719033649938936e-02,9.0373800185559544e-02,4.9113388520813857e+00,5.1780373291911781e+00,-3.4370414251123959e-04,6.9036156097977480e-04,-1.9692796767057007e-02,3.9554803782204516e-02,4.9655376842537295e-16,6.2952113001912319e-16,2.3243458981364954e-20,3.1401849781141793e-16,2.2204460492503131e-16,4.4408920985006262e-16,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.2807049249326032e-02,-4.9816418632270804e-01,8.7932464362595386e-02,-9.9612371972964575e-01,2.1403524624663023e-02,-2.4908209316135407e-01,6.5369756805960744e-02,-7.4714395302617709e-01,4.3183677555777660e+00,2.4742424677998787e+02,7.7118844808392838e-04,4.4185843284452894e-02,-1.7508866114791860e+02,-1.7482196267080883e+02,-1.9692796767065729e-02,3.9554803782211795e-02
9.0000000000000000e+00,9.0000000000000011e-03,3.6870591001285948e+00,8.5332482083875838e-02,9.1150352106953256e-02,4.8891910787817974e+00,5.2225304768598129e+00,-3.8655156606310324e-04,7.7655192139370471e-04,-2.2147773299588239e-02,4.4493147668634138e-02,4.4424538923339297e-16,6.2886722841477268e-16,2.3216294848063689e-21,6.7287566856663834e-20,4.4408920985006262e-16,4.4408920985006262e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2614479909582205e-02,-4.9818069623584954e-01,8.8126572810376447e-02,-9.9610503727551936e-01,2.1307239954791109e-02,-2.4909034811792483e-01,6.5370526359979350e-02,-7.4714286675568464e-01,4.3180926889784690e+00,2.4740848662476313e+02,8.6744164059954709e-04,4.9700744980258046e-02,-1.7511080892121822e+02,-1.7477746952314018e+02,-2.2147773299597481e-02,4.4493147668627379e-02
1.0000000000000000e+01,1.0000000000000000e-02,3.6870591001285948e+00,8.4903123559854243e-02,9.2013059258069990e-02,4.8645906474573941e+00,5.2719599555745562e+00,-4.2935852402159946e-04,8.6270715111673446e-04,-2.4600431324404023e-02,4.9429478714743812e-02,3.1453270964885830e-16,9.4264008527278579e-16,1.1102230754629897e-16,1.7032609613952094e-20,2.2204460492503131e-16,6.6613381477509392e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2400577859759481e-02,-4.9819894720599167e-01,8.8342216660502404e-02,-9.9608383934904721e-01,2.1200288929879747e-02,-2.4909947360299586e-01,6.5371397260130970e-02,-7.4714139327751961e-01,4.3177872325022086e+00,2.4739098525784846e+02,9.6364535527250158e-04,5.5212811804499135e-02,-1.7513540935254261e+02,-1.7472804004442543e+02,-2.4600431324403749e-02,4.9429478714754144e-02
1.1000000000000000e+01,1.0999999999999999e-02,3.6870591001285948e+00,8.4431002728600060e-02,9.2961883544581250e-02,4.8375401164063208e+00,5.3263235826911632e+00,-4.7212083125418156e-04,9.4882428651125506e-04,-2.7050531051072732e-02,5.4363627116606521e-02,6.2869117340002181e-16,9.4308238151653943e-16,3.1742041297078441e-20,6.1631231215503177e-20,4.4408920985006262e-16,6.6613381477509392e-16,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.2165363041909015e-02,-4.9821890987751960e-01,8.8579386369441238e-02,-9.9605998736967605e-01,2.1082681520954515e-02,-2.4910945493875986e-01,6.5372374705675154e-02,-7.4713944862359805e-01,4.3174514393983392e+00,2.4737174573020715e+02,1.0597950773511000e-03,6.0721785080958650e-02,-1.7516245988359370e+02,-1.7467367641730883e+02,-2.7050531051070432e-02,5.4363627116604418e-02
1.2000000000000000e+01,1.2000000000000000e-02,3.6870591001285948e+00,8.3916168307700309e-02,9.3996784189465957e-02,4.8080422769407036e+00,5.3856190218584237e+00,-5.1483442089973990e-04,1.0349006448847134e-03,-2.9497839465616918e-02,5.9295439167261245e-02,6.2828900454780263e-16,1.2961398721700477e-15,7.4318901464480680e-20,3.1401849204510942e-16,4.4408920985006262e-16,8.8817841970012523e-16,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.1908857221232922e-02,-4.9824055202924855e-01,8.8838071653787959e-02,-9.9603332902861730e-01,2.0954428610616471e-02,-2.4912027601462433e-01,6.5373464437510478e-02,-7.4713694052893309e-01,4.3170853676795637e+00,2.4735077136572221e+02,1.1558865972602739e-03,6.6227423618751641e-02,-1.7519195772305932e+02,-1.7461438097814158e+02,-2.9497839465622341e-02,5.9295439167257664e-02
1.3000000000000000e+01,1.3000000000000001e-02,3.6870591001285948e+00,8.3358672951998503e-02,9.5117718041726362e-02,4.7761001459608456e+00,5.4498438007062857e+00,-5.5749535570181140e-04,1.1209338522604230e-03,-3.1942130979858388e-02,6.4224778847863193e-02,8.0096074602152337e-16,1.6035969600393573e-15,5.5889783128203963e-20,4.2135922506339645e-20,4.4408920985006262e-16,1.1102230246251565e-15,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1631083929183986e-02,-4.9826383859445511e-01,8.9118261536931406e-02,-9.9600369832325986e-01,2.0815541964592000e-02,-2.4913191929722764e-01,6.5374672733057734e-02,-7.4713376845885771e-01,4.3166890799836732e+00,2.4732806575327473e+02,1.2519160406245719e-03,7.1729505432516480e-02,-1.7522389985403916e+02,-1.7455015619929372e+02,-3.1942130979865258e-02,6.4224778847875710e-02
1.4000000000000000e+01,1.4000000000000000e-02,3.6870591001285948e+00,8.2758573112833564e-02,9.6324639912666474e-02,4.7417169578902145e+00,5.5189953301131878e+00,-6.0009983916493729e-04,1.2069218709401149e-03,-3.4383188070630413e-02,6.9151529406901627e-02,6.2814680310080815e-16,1.4246148614438387e-15,2.1768932981280457e-20,8.4369377823810423e-20,4.4408920985006262e-16,8.8817841970012523e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1332068401639263e-02,-4.9828873168238735e-01,8.9419944399946605e-02,-9.9597091559293427e-01,2.0666034200819638e-02,-2.4914436584119373e-01,6.5376006400792969e-02,-7.4712982363766101e-01,4.3162626434234008e+00,2.4730363273814103e+02,1.3478798980323566e-03,7.7227829447777785e-02,-1.7525828304210978e+02,-1.7448100466988680e+02,-3.4383188070626514e-02,6.9151529406911758e-02
1.5000000000000000e+01,1.4999999999999999e-02,3.6870591001285948e+00,8.2115928886308268e-02,9.7617502939523079e-02,4.7048961559818663e+00,5.5930709250405801e+00,-6.4264422652529564e-04,1.2928630268566131e-03,-3.6820801908348667e-02,7.4075594927392727e-02,8.0068853810193141e-16,1.6038423045131863e-15,4.2260854784521834e-21,3.1401851105288214e-16,4.4408920985006262e-16,1.3322676295501878e-15,0.0000000000000000e+00,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.1011837512224210e-02,-4.9831519060116047e-01,8.9743108036673180e-02,-9.9593478755557396e-01,2.0505918756112115e-02,-2.4915759530058032e-01,6.5377472774448747e-02,-7.4712498907836755e-01,4.3158061294245709e+00,2.4727747641271944e+02,1.4437750545355336e-03,8.2722217191156341e-02,-1.7529510384401814e+02,-1.7440692907495944e+02,-3.6820801908359839e-02,7.4075594927385940e-02
1.6000000000000000e+01,1.6000000000000000e-02,3.6870591001285948e+00,8.1430803850779623e-02,9.8996258976242618e-02,4.6656413830073244e+00,5.6720678269227935e+00,-6.8512503552863545e-04,1.3787560367195426e-03,-3.9254772974541392e-02,7.8996901882214143e-02,9.4237759783658543e-16,1.6053556778987837e-15,2.2204461257524970e-16,2.2204465400661636e-16,6.6613381477509392e-16,1.3322676295501878e-15,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0670419700866114e-02,-4.9834317188194260e-01,9.0087739712940818e-02,-9.9589510734478881e-01,2.0335209850433068e-02,-2.4917158594097139e-01,6.5379079706903515e-02,-7.4711913961336596e-01,4.3153196135527985e+00,2.4724960110660075e+02,1.5395988188803662e-03,8.8212514465171421e-02,-1.7533435861699266e+02,-1.7432793217307719e+02,-3.9254772974529173e-02,7.8996901882202014e-02
1.7000000000000000e+01,1.7000000000000001e-02,3.6870591001285948e+00,8.0703264893769069e-02,1.0046085901120444e-01,4.6239564713392696e+00,5.7559832276008187e+00,-7.2753895701056705e-04,1.4646000349618287e-03,-4.1684911668055331e-02,8.3915400678025595e-02,8.0060596461747508e-16,1.9129207718474872e-15,9.0057479020223611e-21,7.8660585209419693e-20,6.6613381477509392e-16,1.3322676295501878e-15,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0307844897657652e-02,-4.9837262930432524e-01,9.0453826229902376e-02,-9.9585165454682345e-01,2.0153922448828836e-02,-2.4918631465216270e-01,6.5380835563780076e-02,-7.4711214192557462e-01,4.3148031753289402e+00,2.4722001137599446e+02,1.6353489524800276e-03,9.3698593008245804e-02,-1.7537604352866074e+02,-1.7424401677239919e+02,-4.1684911668051397e-02,8.3915400678014063e-02
